Tiếng Trung (CN),Tiếng Việt chuẩn (VI),Tiếng Anh (EN),Bản dịch phụ (Alt),Từ cấm dùng,Ghi chú
「天槎系统」,"""Hệ Thống SkyArk""",,,,tên riêng (tự điền)
「娜波摩」,"""Naboma""",,,,tên riêng (tự điền)
「尤诺」,"""Iuno""",,,,tên riêng (tự điền)
「怀璞矿行」掌柜,"Chưởng Quỹ ""Tiệm Mỏ Hoài Phác""",,,,tên riêng (tự điền)
「怠惰」机袭三,「Đãi Nọa」Cơ Tập Ba,,,,tên riêng (tự điền)
「拉海洛」,"""Lahai-Roi""",,,,tên riêng (tự điền)
「拉里奥」,"""Pliosaurus Somnii""",,,,tên riêng (tự điền)
「拾方药房」掌柜,Lv.,,,,tên riêng (tự điền)
「攀花饭馆」店主,"Chủ Quán ""Quán Ăn Phàn Hoa""",,,,tên riêng (tự điền)
「暴君」,"""Bạo Chúa""",,,,tên riêng (tự điền)
「木禺身边的卧底」,「Nội Gián Bên Cạnh Muyu」,,,,tên riêng (tự điền)
「模拟训练场」教官,"Giáo Quan ""Khu Huấn Luyện Mô Phỏng""",,,,tên riêng (tự điền)
「流放者」喽啰,<ano=Scar>Scar</ano>,,,,tên riêng (tự điền)
「流放者」头目,300,,,,tên riêng (tự điền)
「渊武拳馆」伙计,"Nhân Viên ""Võ Quán Yuanwu""",,,,tên riêng (tự điền)
「炙尊·掌味天下」店长,Cửa hàng trưởng 「Chích Tôn · Chưởng Vị Thiên Hạ」,,,,tên riêng (tự điền)
「烈日」店主,"Chủ Quán ""Solis""",,,,tên riêng (tự điền)
「焙焙」,Sinh Lực,,,,tên riêng (tự điền)
「爱弥斯」,"""Aemeath""",,,,tên riêng (tự điền)
「珍宝糖水」店主,20/30,,,,tên riêng (tự điền)
「画匠」,"""Họa Sĩ""",,,,tên riêng (tự điền)
「痛苦」机戍四,「Thống Khổ」Cơ Thú Bốn,,,,tên riêng (tự điền)
「益佰诊所」医师,Sinh Lực,,,,tên riêng (tự điền)
「祈池村」住民,"Cư Dân ""Kỳ Trì""",,,,tên riêng (tự điền)
「自定」机卫一,「Tự Định」Cơ Vệ Một,,,,tên riêng (tự điền)
「花女」,"""Hoa Nữ""",,,,tên riêng (tự điền)
「花女」-心魔,80,,,,tên riêng (tự điền)
「虎口大排档」掌柜,Baizhi,,,,tên riêng (tự điền)
「虎口矿石」商人,Baizhi,,,,tên riêng (tự điền)
「角」,Yangyang,,,,tên riêng (tự điền)
「达妮娅」,"""Dania""",,,,tên riêng (tự điền)
「马和杂货」店主,"<ano=Whining Aix's Mire>Đầm Oán Điểu</ano> không an toàn… Nếu <ano=We Are One>chúng ta</ano> cùng đường, chi bằng <ano=operation>hành động</ano> chung nhé?",,,,tên riêng (tự điền)
「鬼猫挈灯」,「Quỷ Miêu Khiết Đăng」,,,,tên riêng (tự điền)
「黑街」打手,"Tay Sai ""Phố Đen""",,,,tên riêng (tự điền)
【你有看到我的叫早鸟吗】,[Bạn có thấy chim báo thức của tôi không],,,,tên riêng (tự điền)
【匆匆记录的笔记】,[Ghi Chép Vội Vàng],,,,tên riêng (tự điền)
【古老的刻文】,[Dòng Chữ Khắc Cổ Xưa],,,,tên riêng (tự điền)
【员工值班处的日志片段】,[Đoạn Nhật Ký Tại Phòng Trực Ban Của Nhân Viên],,,,tên riêng (tự điền)
【实验记录】,[Ghi Chép Thí Nghiệm],,,,tên riêng (tự điền)
【寻物启事：学生证】,[Thông Báo Tìm Đồ: Thẻ Học Sinh],,,,tên riêng (tự điền)
【寻物启事：实验样本】,[Thông Báo Tìm Đồ: Mẫu Thí Nghiệm],,,,tên riêng (tự điền)
【寻物启事：数据记忆体】,[Thông Báo Tìm Đồ: Bộ Nhớ Dữ Liệu],,,,tên riêng (tự điền)
【帮派留下的便条】,[Mẩu Giấy Băng Đảng Để Lại],,,,tên riêng (tự điền)
【异口同声】,[Đồng Thanh],,,,tên riêng (tự điền)
【忏悔集录】,[Tuyển Tập Lời Sám Hối],,,,tên riêng (tự điền)
【拍卖会停止举办的通知】,[Thông Báo Ngừng Tổ Chức Phiên Đấu Giá],,,,tên riêng (tự điền)
【损坏的日志】,[Nhật Ký Hư Hỏng],,,,tên riêng (tự điền)
【散落的文稿】,[Bản Thảo Rải Rác],,,,tên riêng (tự điền)
【数据档案片段】,[Trích Đoạn Hồ Sơ Dữ Liệu],,,,tên riêng (tự điền)
【旧日志片段】,[Đoạn Nhật Ký Cũ],,,,tên riêng (tự điền)
【洛塔的日记·一】,[Nhật Ký Lotta - Một],,,,tên riêng (tự điền)
【浸水的笔记】,[Cuốn Sổ Ngấm Nước],,,,tên riêng (tự điền)
【生活区备忘录】,[Bản Ghi Nhớ Khu Sinh Hoạt],,,,tên riêng (tự điền)
【看守的便条】,[Mẩu Giấy Nhắn Của Người Canh Gác],,,,tên riêng (tự điền)
【短信用】哈丽雅特,[Tin Nhắn] Harriet,,,,tên riêng (tự điền)
【短信用】学院快讯,[Dùng cho tin nhắn]Tin Nhanh Học Viện,,,,tên riêng (tự điền)
【短信用】深空联合,[Dùng cho tin nhắn]Liên Hợp Deep Space,,,,tên riêng (tự điền)
【短信用】深空联合·回复,[Dùng cho tin nhắn]Liên Hợp Deep Space · Phản Hồi,,,,tên riêng (tự điền)
【研究员的留言】,[Lời Nhắn Của Nghiên Cứu Viên],,,,tên riêng (tự điền)
【研究日志片段】,[Đoạn Nhật Ký Nghiên Cứu],,,,tên riêng (tự điền)
【破损不堪的纸条】,[Tờ Giấy Rách Nát],,,,tên riêng (tự điền)
【破旧的日志】,[Nhật Ký Cũ Nát],,,,tên riêng (tự điền)
【空对白人】,[Người Đối Thoại Trống],,,,tên riêng (tự điền)
【空说话人】,[Người Kể Chuyện],,,,tên riêng (tự điền)
【笔记本残页】,[Trang Sổ Tay Bị Rách],,,,tên riêng (tự điền)
【脏兮兮的便条】,[Mẩu Giấy Lem Luốc],,,,tên riêng (tự điền)
【脏污数据板】,[Bảng Dữ Liệu Bẩn],,,,tên riêng (tự điền)
【语音日志·一】,[Nhật Ký Ghi Âm · Một],,,,tên riêng (tự điền)
【语音日志·三】,[Nhật Ký Âm Thanh III],,,,tên riêng (tự điền)
【语音日志·二】,[Nhật Ký Âm Thanh II],,,,tên riêng (tự điền)
【语音日志·四】,[Nhật Ký Âm Thanh IV],,,,tên riêng (tự điền)
【达维德的航行日志片段】,99:99:99,,,,tên riêng (tự điền)
【遗落的便条】,[Mẩu Giấy Bị Bỏ Lại],,,,tên riêng (tự điền)
【金库宣传单】,[Tờ Rơi Quảng Cáo Kim Khố],,,,tên riêng (tự điền)
【金库游览指南（已过期）】,[Hướng Dẫn Tham Quan Kim Khố (Đã Hết Hạn)],,,,tên riêng (tự điền)
【飞镖盘上的贴纸】,[Nhãn Dán Trên Bảng Phi Tiêu],,,,tên riêng (tự điền)
【饮料清单】,[Danh Sách Đồ Uống],,,,tên riêng (tự điền)
【黑屏白字】,[Màn hình đen chữ trắng],,,,tên riêng (tự điền)
【黑幕白字】,[Màn hình đen chữ trắng],,,,tên riêng (tự điền)
一丝不苟的教士,22,,,,tên riêng (tự điền)
一些留言,Một số lời nhắn,,,,tên riêng (tự điền)
一份古旧的笔记,Một tập ghi chép cũ kỹ,,,,tên riêng (tự điền)
一份残缺的通讯记录,Một Bản Ghi Liên Lạc Hư Hỏng,,,,tên riêng (tự điền)
一份调查报告的副本,Bản sao của một báo cáo điều tra,,,,tên riêng (tự điền)
一则数据留言,Một lời nhắn dữ liệu,,,,tên riêng (tự điền)
一号演员,Diễn Viên Số 1,,,,tên riêng (tự điền)
一堆箱子,Một đống thùng,,,,tên riêng (tự điền)
一壶,Tên tên thẻ bài,,,,tên riêng (tự điền)
一封写在残页上的信,Bức Thư Viết Trên Trang Giấy Rách,,,,tên riêng (tự điền)
一川,MAX,,,,tên riêng (tự điền)
一张字迹清秀的纸条,Mẩu giấy với nét chữ thanh tú,,,,tên riêng (tự điền)
一张字迹潦草的笔记,Một tờ ghi chép nét chữ nguệch ngoạc,,,,tên riêng (tự điền)
一张字迹潦草的纸条,Một mẩu giấy nét chữ nguệch ngoạc,,,,tên riêng (tự điền)
一张字迹端庄的回帖,Một tờ hồi đáp với nét chữ ngay ngắn,,,,tên riêng (tự điền)
一张已作废的货物运输单据,Phiếu Vận Chuyển Hàng Hóa Đã Hủy,,,,tên riêng (tự điền)
一张残破的纸条,Một mẩu giấy rách nát,,,,tên riêng (tự điền)
一张画了一半的画,Một bức tranh vẽ dở,,,,tên riêng (tự điền)
一张被揉皱的欠条,71,,,,tên riêng (tự điền)
一心,"Trước đây tôi bị <ano=Crownless avatar>phân thân của Vô Miện Giả</ano> tấn công, bị thương nặng, là Yinlin đã giúp tôi xác nhận Tần Số trong cơ thể đã ổn định, tôi mới có thể thuận lợi kết thúc <ano=treatment>điều trị</ano>.",,,,tên riêng (tự điền)
一把有特殊符号的匕首,Một <ano=dagger>dao găm</ano> có ký hiệu <ano=Valuables>Đặc Biệt</ano>.,Dagger with Markings,,,tên riêng (tự điền)
一旁的小狗,18,,,,tên riêng (tự điền)
一本字迹端正的日记,Một cuốn nhật ký nét chữ ngay ngắn,,,,tên riêng (tự điền)
一本正经的学生,Học Sinh Nghiêm Túc,,,,tên riêng (tự điền)
一本破旧小说杂志,<ano=Tattered Magazine>Tạp Chí Tiểu Thuyết Cũ Nát</ano>,,,,tên riêng (tự điền)
一段像是备忘录的字迹,Đoạn chữ viết trông như bản ghi nhớ,,,,tên riêng (tự điền)
一段像是实验笔记的记录,Đoạn ghi chép trông như nhật ký thí nghiệm,,,,tên riêng (tự điền)
一段像是日记的字迹,Đoạn chữ viết trông như nhật ký,,,,tên riêng (tự điền)
一段已经有些模糊的笔记,Đoạn ghi chép đã hơi mờ nhòe,,,,tên riêng (tự điền)
一脸怀疑的小孩,Đứa Trẻ Đầy Vẻ Hoài Nghi,,,,tên riêng (tự điền)
一脸怀疑的男人,Người đàn ông đầy vẻ hoài nghi,,,,tên riêng (tự điền)
一脸期盼的女子,Người Phụ Nữ Đầy Mong Đợi,,,,tên riêng (tự điền)
一色,Nhất Sắc,,,,tên riêng (tự điền)
一花,Ichika,,,,tên riêng (tự điền)
一首短诗,Một bài thơ ngắn,,,,tên riêng (tự điền)
丁度,666,,,,tên riêng (tự điền)
丁銮,Đinh Loan,,,,tên riêng (tự điền)
七丘,Thất Khâu,,,,tên riêng (tự điền)
七丘巡偶,Tuần Ngẫu Septimont,,,,tên riêng (tự điền)
七丘平民成年女,Phụ Nữ Trưởng Thành Thường Dân Thất Khâu,,,,tên riêng (tự điền)
七丘民众,Dân Chúng Septimont,,,,tên riêng (tự điền)
七子,Chixia,,,,tên riêng (tự điền)
七对,Jinhsi,,,,tên riêng (tự điền)
七绪,Nanao,,,,tên riêng (tự điền)
万囮牢,Myriad Snare,,,,tên riêng (tự điền)
万奇,Vạn Kỳ,,,,tên riêng (tự điền)
万德,Wander,,,,tên riêng (tự điền)
万斯,Vance,,,,tên riêng (tự điền)
万沁,Wanqin,,,,tên riêng (tự điền)
万能修理箱,Jiyan,Universal Toolbox,,,tên riêng (tự điền)
万能的手下,666,,,,tên riêng (tự điền)
三元,Tam Nguyên,,,,tên riêng (tự điền)
三十,Tam Thập,,,,tên riêng (tự điền)
三号演员,Diễn Viên Số Ba,,,,tên riêng (tự điền)
三名新兵,Ba tân binh,,,,tên riêng (tự điền)
三通,Nhấn để nhập,,,,tên riêng (tự điền)
上交给寻遗商人后可以换取资源。,Speaker_602_Name,You can exchange them for resources by handing it to the Relic Merchant.,,,tên riêng (tự điền)
上年纪的角斗士,Giác Đấu Sĩ Lớn Tuổi,,,,tên riêng (tự điền)
上班族,Nhân Viên Văn Phòng,,,,tên riêng (tự điền)
上班族A,Nhân Viên Văn Phòng A,,,,tên riêng (tự điền)
上班族B,Nhân Viên Văn Phòng B,,,,tên riêng (tự điền)
上班族C,Nhân Viên Văn Phòng C,,,,tên riêng (tự điền)
上班族D,Nhân Viên Văn Phòng D,,,,tên riêng (tự điền)
上锁的盒子,Yangyang,Locked Box,,,tên riêng (tự điền)
不再天真的小米娅,Maia Hết Ngây Thơ,,,,tên riêng (tự điền)
不再得意的海盗,Hải Tặc Hết Đắc Ý,,,,tên riêng (tự điền)
不再慵懒的学生,Học sinh không còn lười biếng,,,,tên riêng (tự điền)
不再难过寂寞小姐,Cô Cô Đơn Hết Buồn,,,,tên riêng (tự điền)
不准时宝,Báu vật không đúng giờ,,,,tên riêng (tự điền)
不存在于此的声音,Giọng Nói Không Tồn Tại Nơi Đây,,,,tên riêng (tự điền)
不安的天工成员,Tăng Sát Thương Ngưng Băng,,,,tên riêng (tự điền)
不安的居民,Người Dân Bất An,,,,tên riêng (tự điền)
不安的教士,Giáo Sĩ Bất An,,,,tên riêng (tự điền)
不安的流放者,Kẻ Lưu Đày Bất An,,,,tên riêng (tự điền)
不安的流民,Lưu Dân Bất An,,,,tên riêng (tự điền)
不安的研究员,Nghiên Cứu Viên Bất An,,,,tên riêng (tự điền)
不安的莫塔里成员,4000,,,,tên riêng (tự điền)
不屈的角斗士,Đấu Sĩ Bất Khuất,,,,tên riêng (tự điền)
不屈角斗士的“英灵”,"""Anh Linh"" Của Đấu Sĩ Bất Khuất",,,,tên riêng (tự điền)
不息坏灭,x1,Unending Destruction,,,tên riêng (tự điền)
不想上班的上班族,Nhân viên văn phòng không muốn đi làm,,,,tên riêng (tự điền)
不想上班的人,Người Không Muốn Đi Làm,,,,tên riêng (tự điền)
不愿休息的伤员,Thương Binh Không Chịu Nghỉ Ngơi,,,,tên riêng (tự điền)
不愿喝药的伤员,Thương Binh Không Chịu Uống Thuốc,,,,tên riêng (tự điền)
不愿意休息的伤员,Thương Binh Từ Chối Nghỉ Ngơi,,,,tên riêng (tự điền)
不愿意喝药的伤员,Thương Binh Không Chịu Uống Thuốc,,,,tên riêng (tự điền)
不明残象,Tàn Tượng Không Rõ,,,,tên riêng (tự điền)
不满的观赛者,Khán Giả Bất Mãn,,,,tên riêng (tự điền)
不满的角斗士教练,Huấn Luyện Viên Đấu Sĩ Bất Mãn,,,,tên riêng (tự điền)
不满的角斗教练,Huấn Luyện Viên Đấu Sĩ Bất Mãn,,,,tên riêng (tự điền)
不满的谕女,Dụ Nữ Bất Mãn,,,,tên riêng (tự điền)
不甘的队员,Đội Viên Bất Cam,,,,tên riêng (tự điền)
不知何人遗留的笔记,Cuốn Sổ Tay Không Rõ Của Ai Để Lại,,,,tên riêng (tự điền)
不知何处传来的叫声,Tiếng Kêu Không Xác Định,,,,tên riêng (tự điền)
不知何处传来的声音,Giọng Nói Vọng Đến Từ Đâu Đó,,,,tên riêng (tự điền)
不耐烦的卖家,Người bán mất kiên nhẫn,,,,tên riêng (tự điền)
不耐烦的流放者,Kẻ Lưu Đày Mất Kiên Nhẫn,,,,tên riêng (tự điền)
不耐烦的顾客,Sinh Lực,,,,tên riêng (tự điền)
不耐的父亲,Người Cha Mất Kiên Nhẫn,,,,tên riêng (tự điền)
专业的调音师,0/24,,,,tên riêng (tự điền)
专注的“流放者”,"""Kẻ Lưu Đày"" Tập Trung",,,,tên riêng (tự điền)
世游,Lingyang,,,,tên riêng (tự điền)
丘比丽,Cubili,,,,tên riêng (tự điền)
丛棘步道,TD-Action thử,Thorny Passage,,,tên riêng (tự điền)
东仔,Lv.0,,,,tên riêng (tự điền)
东坡,Thế Lực,,,,tên riêng (tự điền)
丝西娜,Sicina,,,,tên riêng (tự điền)
严务,Yanwu,,,,tên riêng (tự điền)
严厉的巡方使,Tuần Phương Sứ nghiêm khắc,,,,tên riêng (tự điền)
严彦,Nghiêm Ngạn,,,,tên riêng (tự điền)
严肃的今巡尉,01,,,,tên riêng (tự điền)
严肃的修士,Tu Sĩ Nghiêm Nghị,,,,tên riêng (tự điền)
严肃的准时宝,Đúng Giờ Nghiêm Túc,,,,tên riêng (tự điền)
严肃的天工成员,Tăng Sát Thương Ngưng Băng,,,,tên riêng (tự điền)
严肃的女声【新闻播报】,Giọng Nữ Nghiêm Túc [Bản Tin],,,,tên riêng (tự điền)
严肃的学生,Học Sinh Nghiêm Túc,,,,tên riêng (tự điền)
严肃的小说家,Tiểu Thuyết Gia Nghiêm Túc,,,,tên riêng (tự điền)
严肃的巡尉,Viên Tuần Tra Nghiêm Túc,,,,tên riêng (tự điền)
严肃的巨日灵,Giant Soliskin Nghiêm Túc,,,,tên riêng (tự điền)
严肃的师长,Trưởng Bối Nghiêm Khắc,,,,tên riêng (tự điền)
严肃的师长？,Trưởng Bối Nghiêm Khắc?,,,,tên riêng (tự điền)
严肃的教士,Giáo sĩ nghiêm nghị,,,,tên riêng (tự điền)
严肃的教授,Giáo Sư Nghiêm Túc,,,,tên riêng (tự điền)
严肃的日灵,<ano=Soliskin>Nhật Linh</ano> nghiêm nghị,,,,tên riêng (tự điền)
严肃的校工,Lao Công Trường Học Nghiêm Nghị,,,,tên riêng (tự điền)
严肃的物流员,Nhân Viên Hậu Cần Nghiêm Túc,,,,tên riêng (tự điền)
严肃的瑞狮团工作成员,810%,,,,tên riêng (tự điền)
严肃的男教士,1,,,,tên riêng (tự điền)
严肃的科波拉手下,Thuộc Hạ Nghiêm Nghị Của Capollo,,,,tên riêng (tự điền)
严肃的职员,Lv: 111,,,,tên riêng (tự điền)
严谨的学生,Học Sinh Nghiêm Túc,,,,tên riêng (tự điền)
严谨的实验员【妆造大师】,Thí Nghiệm Viên Nghiêm Ngặt [Bậc Thầy Trang Điểm],,,,tên riêng (tự điền)
严谨的理科生【妆造大师】,Sinh Viên Lý Khoa Cẩn Thận [Bậc Thầy Trang Điểm],,,,tên riêng (tự điền)
严谨的瑞狮团工作成员,Jiyan,,,,tên riêng (tự điền)
严谨的研究员,Nghiên Cứu Viên Nghiêm Túc,,,,tên riêng (tự điền)
中型声骸经验道具。,Speaker_609_Name,Medium quantity of Echo EXP item.,,,tên riêng (tự điền)
中年女性,Phụ Nữ Trung Niên,,,,tên riêng (tự điền)
中年流民,Dân tị nạn trung niên,,,,tên riêng (tự điền)
中年男性,Người Đàn Ông Trung Niên,,,,tên riêng (tự điền)
中年男性npc,NPC Người Đàn Ông Trung Niên,,,,tên riêng (tự điền)
中年罗伊人,Người Roy Trung Niên,,,,tên riêng (tự điền)
中度变异样本,Yangyang,Moderate Mutant Sample,,,tên riêng (tự điền)
中度变异结构,Yangyang,Moderate Mutant Structure,,,tên riêng (tự điền)
中曲台地,Sinh Lực,Central Plains,,,tên riêng (tự điền)
中林,Trung Lâm,,,,tên riêng (tự điền)
